Identifier / Formula,Name,rank 1,rank 2,rank 3,rank 4,rank 5,rank 6,rank 7,rank 8,rank 9,rank 10
W,work (Q42213),Wronskian,Wallis' Formula,Weierstrass Function,Weil Conjectures,Whitney Sum,Weyl's Character Formula,Weyl Tensor,Wolfram Alpha Code,Wong's Equations,Wirtinger Invariant
epsilon,permittivity (Q211569),Darcy-Weisbach friction factor,Permeability (in porous media),Critical dimensionless parameter,Epsilon-nu method,Viscous sublayer thickness,Friction velocity,Reynolds stress,Mixing length,Kolmogorov scale,Prandtl number
f,frequency (Q11652),function,factorial,frequency,flux,force,form factor,Fourier transform,field,fractal dimension,Fubini's theorem
Omega,angular velocity (N/A),Angular Momentum,Spectral Density,Riemann Zeta Function,Hadamard Matrix,Euler's Constant,Dirichlet Beta Function,Lorentz Factor,Euler-Mascheroni Constant,Wallis Formula,Clausen Function
varphi,phase (N/A),Euler's totient function,Golden ratio,Veblen function,Newman-Shanks-Williams primality test constant,Landau-Ramanujan prime number constant,Riemann zeta function regularization term,Hadamard maximal prime number constant,Liouville's lambda function value,Erdos-Weyl equidistribution theorem constant,Dirichlet L-function regularization term
K,kinetic energy (N/A),Kleinian group,Kea function,Kempner's lemma,Kelvin-Helmholtz instability,Karman vortex street,Kepler's equation,Kleman line tension,Kubo formula,Kolmogorov spectrum,Koiter's shell theory
H,hamiltonian (N/A),Hamiltonian,Harmonic number,Hausdorff dimension,Hadamard matrix,Hankel transform,Hardy-Ramanujan number,Hurwitz zeta function,Hankel determinant,Hilbert curve,Hessian matrix
S,Hamiltonian (N/A),Surface tension,Sigma,Schwarzschild radius,Second moment,Shear stress,Stokes' theorem,Simplex,Symplectic form,Stress tensor,Scalar curvature
pi,constant (Q188248),Euler's Constant,Circumference Ratio,Geometrical Constant,Mathematical Constant Pi,Euclid's Number,Archimedes' Constant,Ration of Circumference,Universal Constants Alpha,Irrational Number Phi,Gaussian Prime
rho,density (Q29539),Euler's Number,Dirichlet Beta Function,Gamma Distribution,Riemann Zeta Function,Klein-Gordon Equation,Hydrogen Atom Wavefunction,Planck Constant,Wigner-Seitz Cell,Navier-Stokes Equations,Fermi-Dirac Distribution
h,Planck constant (Q122894),Hausdorff dimension,Hamiltonian,Heisenberg matrix,Hilbert space,Hadamard gate,Hermite polynomial,Hessian matrix,Hilbert transform,Hankel function,Hurwitz zeta
vT,distance (Q126017),Variance Tensor,Velocity Tensor,Vector Transform,Velocity Transformation,Variation Tensor,Vector Trace,Volumetric Tensor,Vector Transport,Valued Transition,Velocity Vector
C,capacitance (N/A),Euler's Constant (0.95),Catalan Number (0.88),Catalan's Constant (0.85),Euler-Mascheroni Constant (0.82),Bernoulli Numbers (0.78),Catalan Integral (0.75),Riemann Zeta Function (0.72),Gaussian Distribution (0.68),Bessel Functions (0.63),Beta Function (0.56)
nu,frequency (Q11652),Newton's Universal Gravitation Constant (G),Reduced Planck Mass (mp),Fermi Coupling Constant (α),Electron Compton Wavelength (λe),Fine Structure Constant (α0),Riemann Zeta Function (ζ(s)),Navier-Stokes Equations (NS),Gauss's Law (Gauss_Law),Landau Damping (Ld),Nusselt Number (Nu)
lambda,eigenvalue (Q21406831),mu,sigma,tau,omega,delta,epsilon,xi,eta,zeta,phi
n,integer (Q12503),Euler's totient function (φ(n)),Lehmer's totient function,Carmichael's function (λ(n)),Multiplicative order of n,Totient function of n,Counting function for n,Divisor function for n,Number of divisors of n,Euler pseudoprime test constant,Riemann zeta function value at 1
i,number (N/A),Identity,Identity Element,Unit Matrix,Zero Vector,Neutral Element,Identity Operator,Isomorphism,Equivalence Relation,Homomorphism,Kernel
xi,coordinate (N/A),Christoffel symbol,exterior derivative,covariant derivative,Riemann tensor,Ricci scalar,metric signature,Killing vector,Laplace-Beltrami operator,Weyl tensor,Bianchi identity
zeta,jerk (N/A),Riemann Zeta Function,Weierstrass Zeta Function,Zeta Potential,Zeta Regularization,Hadamard Product (Zeta),Polygamma Function (ζ),Hurwitz Zeta Function,Barnes Zeta Function,Zeta Distribution,Eisenstein's Zeta-Series
M,continuous function (Q5165476),Magnitude,Metric,Measure,Mass,Momentum,Moment,Matrix,Mean,Median,Metric Tensor
Q,damping (N/A),Quotient,Quadratic Formula,Quantum Mechanics,Quaternion,Quasiperiodic,Quadrature,Quadrature Amplitude Modulation,Quasi-Periodicity,Quartic Equation,Quandle
e,constant (Q188248),EulerGamma,EulersNumber,NaturalLogarithmBase,BaseOfTheNaturalLogarithm,MathematicalConstantE,EulerianNumber,NapierianBase,TranscendentalNumberE,EulersConstant,LogarithmicBasee
Z,mechanical impedance (Q6421317),Zeta Function,Zero Point Energy,Zeeman Effect,Zweifel Equation,Zwanzig Momentum,Zak Phase,Zhang-Yau Inequality,Zipf-Mandelbrot Law,Zagier Conjecture,Zygmund Inequality
l,length (Q36253),Laplace,Lagrange,Liouville,Legendre,Lebesgue,L'Hopital,Lobachevsky,Lyapunov,Levi-Civita,Lambek
d,distance (Q126017),Distance,Determinant,Derivative,Difference,Deflection,Deviation,Displacement,Differential,Dedekind cut,Dirichlet series
Psi,wavefunction (N/A),Cepheid variable,Dark matter potential,Wave function,Ground state energy,Angular momentum,Quantum potential,Electromagnetic potential,Gauge coupling constant,Yukawa potential,Wigner-Seitz cell
psi,wavefunction (N/A),**Pauli spin matrix** (Likelihood: 8/10),**Wigner D-matrix** (Likelihood: 7.5/10),**Polarizability** (Likelihood: 7/10),**Rydberg constant** (Likelihood: 6.5/10),**Spin wave function** (Likelihood: 6/10),**Permeability** (Likelihood: 5.5/10),**Magnetic susceptibility** (Likelihood: 5/10),**Quantum state** (Likelihood: 4.5/10),**Density matrix element** (Likelihood: 4/10),**Phase shift** (Likelihood: 3.5/10)
